id_evaluacion,archivo_local,sha256,n_copias,canonico
paper_065_LoRA_Low-Rank_Adaptation_of_Large_Langua,paper_065_LoRA_ Low-Rank Adaptation of Large Language Models.pdf,e9a0d3128767db616085dc0f4e6e455e672e89af823e8ed1282793682787395a,3,paper_045_LoRA_Low-Rank_Adaptation_of_Large_Langua
paper_066_Retrieval-Augmented_Generation_for_Knowl,paper_066_Retrieval-Augmented Generation for Knowledge-Inten.pdf,23e3249e9a1e75418d82efecab0ea8c4d033b89c93742f63208d47ce01f21233,3,paper_046_Retrieval-Augmented_Generation_for_Knowl
paper_067_REALM_Retrieval-Augmented_Language_Model,paper_067_REALM_ Retrieval-Augmented Language Model Pre-Trai.pdf,3e67fc1a9977715acf722d85f0b7d124b03715e975f6310a4d6c12094190912f,3,paper_047_REALM_Retrieval-Augmented_Language_Model
paper_068_Dense_Passage_Retrieval_for_Open-Domain,paper_068_Dense Passage Retrieval for Open-Domain Question A.pdf,61a4418f189b454c28e534882d4dc26a4ad29e15d82deb8fb1ec86be08e3f6ae,2,paper_048_Dense_Passage_Retrieval_for_Open-Domain
paper_069_Atlas_Few-shot_Learning_with_Retrieval_A,paper_069_Atlas_ Few-shot Learning with Retrieval Augmented .pdf,7fd476342abaa95cbde50e1c5108765f2c53c3c84a7d55c4f2584fb8aaa01b10,2,paper_049_Atlas_Few-shot_Learning_with_Retrieval_A
paper_070_CAMEL_Communicative_Agents_for_Mind_Expl,paper_070_CAMEL_ Communicative Agents for Mind Exploration.pdf,05baa636de7fe8b91d372a6c75a598352f3d2a01b59ad0c5f91bb6918e50d5d1,2,paper_050_CAMEL_Communicative_Agents_for_Mind_Expl
paper_071_Tree_of_Thoughts_Deliberate_Problem_Solv,paper_071_Tree of Thoughts_ Deliberate Problem Solving with .pdf,cc65b7ad233da4f46a673c0045ee2c0ab332948d86b3f401ba97345d650abf04,2,paper_051_Tree_of_Thoughts_Deliberate_Problem_Solv
paper_072_ReAct_Synergizing_Reasoning_and_Acting_i,paper_072_ReAct_ Synergizing Reasoning and Acting in Languag.pdf,f285b0971ae4a790e402fb93966bed3adde2cf0a04977d08b2b40d6ab0cace69,2,paper_052_ReAct_Synergizing_Reasoning_and_Acting_i
paper_073_LoRA_Low-Rank_Adaptation_of_Large_Langua,paper_073_LoRA_ Low-Rank Adaptation of Large Language Models.pdf,e9a0d3128767db616085dc0f4e6e455e672e89af823e8ed1282793682787395a,3,paper_045_LoRA_Low-Rank_Adaptation_of_Large_Langua
paper_074_Retrieval-Augmented_Generation_for_Knowl,paper_074_Retrieval-Augmented Generation for Knowledge-Inten.pdf,23e3249e9a1e75418d82efecab0ea8c4d033b89c93742f63208d47ce01f21233,3,paper_046_Retrieval-Augmented_Generation_for_Knowl
paper_075_REALM_Retrieval-Augmented_Language_Model,paper_075_REALM_ Retrieval-Augmented Language Model Pre-Trai.pdf,3e67fc1a9977715acf722d85f0b7d124b03715e975f6310a4d6c12094190912f,3,paper_047_REALM_Retrieval-Augmented_Language_Model
paper_095_Chatbot_Arena_An_Open_Platform_for_Evalu,paper_095_Chatbot Arena_ An Open Platform for Evaluating LLM.pdf,92cb3a2b71362acda98a789b03d88688fd33cf5fcf13f81d2b1de30ee7d3b67a,1,
paper_095_GPT-4_Technical_Report,paper_095_GPT-4 Technical Report.pdf,c33a66dadca2388d7b172d6293b00dc32b71110c6f38fafe0d41112e61be7774,3,paper_038_GPT-4_Technical_Report
paper_096_LLaMA_2_Open_Foundation_and_Fine-Tuned_C,paper_096_LLaMA 2_ Open Foundation and Fine-Tuned Chat Model.pdf,1df284ce95f783002074bfe8f21d47c646b396ceb1736ea3ec0ea212fc070d91,1,
paper_096_PaLM_Scaling_Language_Modeling_with_Path,paper_096_PaLM_ Scaling Language Modeling with Pathways.pdf,1e88f1f3027cd1abecb1713c1c08a89137c7730582549ec7ca78ca329f3f975d,1,
paper_097_Are_Emergent_Abilities_of_Large_Language,paper_097_Are Emergent Abilities of Large Language Models a .pdf,ab01f65ce1ddfe07c3e11902da62ed9b61ceb31d10f35d77308f305c25d88fe6,1,
paper_097_LaMDA_Language_Models_for_Dialog_Applica,paper_097_LaMDA_ Language Models for Dialog Applications.pdf,c2b9f7d10729fe742326a7b4ff41430899e2455700920ab464f8974e7ffcb718,3,paper_040_LaMDA_Language_Models_for_Dialog_Applica
paper_098_Code_Llama_Open_Foundation_Models_for_Co,paper_098_Code Llama_ Open Foundation Models for Code.pdf,44297f247ba32463aea422260b2966aedfc67d176db88f5b4602d13325ef03f1,1,
paper_098_GPQA_A_Graduate-level_Google-Proof_Q_A_B,paper_098_GPQA_ A Graduate-level Google-Proof Q&A Benchmark.pdf,58a85a21b653a01d5794f84952936f58e6a5218d781588f44ae183bb749bf023,2,paper_041_GPQA_A_Graduate-level_Google-Proof_Q_A_B
paper_099_Longformer_The_Long-Document_Transformer,paper_099_Longformer_ The Long-Document Transformer.pdf,053756b54e2d3462d4690b3aed489c962f17df7c3531865e47374c4a651f526c,3,paper_042_Longformer_The_Long-Document_Transformer
paper_100_A_Survey_of_Large_Language_Models,paper_100_A Survey of Large Language Models.pdf,1574982845157569b85c1214bfa9987000384d7a5e3b5fbdcc5a29afec59cb81,1,
paper_100_T5_Text-to-Text_Transfer_Transformer,paper_100_T5_ Text-to-Text Transfer Transformer.pdf,97fd272f1fdfc18677462d0292f5fbf26ca86b4d1b485c2dba03269b643a0e83,1,
